entry_id,Publisher Name,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Status,Search Engine Bid,Impressions,Avg. Pos.,Avg. Cost per Click,Clicks
mkt_045,Overture - Global,agen flight,Standard,Unassigned,Unassigned,agen,Position 1-2 Target,Paused,$0.14 ,208,1.71,$0.13 ,2
mkt_046,Google - Global,tou de france,Broad,Air France Global Campaign,Tour de France,uncategorized,,Unavailable,$6.25 ,21,1,$2.55 ,1
mkt_047,Google - US,airfrance website,Broad,Air France Branded,Air France Website,uncategorized,Position 2-5 Bid Strategy,Live,$0.71 ,80,1.06,$0.99 ,10
mkt_049,Google - US,fly to spain,Broad,Western Europe Destinations,Spain,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,197,1.46,$2.31 ,11
mkt_050,Overture - Global,paris flight deal,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Sent,$0.80 ,271,2.79,$0.87 ,22
mkt_051,Google - US,france air tickets,Broad,Geo Targeted DC,DC to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,10,1.1,$1.59 ,3
mkt_052,Google - US,paris plane ticket,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,7,1.29,$1.84 ,1
mkt_053,Google - US,discount airline france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Paused,$10.00 ,52,1.53,$4.74 ,1
mkt_054,Overture - US,airline sales,Advanced,Unassigned,Unassigned,airline,Position 5-10 Bid Strategy,Paused,$1.33 ,"1,153",5.82,$0.68 ,14
mkt_055,Google - US,international airline,Broad,Geo Targeted Detroit,International Detroit,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,51,1.8,$2.04 ,1
mkt_056,Yahoo - US,international flights,Advanced,Geo Targeted Atlanta,International Atlanta,uncategorized,,Paused,$6.25 ,420,1.25,$1.47 ,36
mkt_057,Yahoo - US,europe plane ticket,Advanced,Geo Targeted Chicago,Europe Chicago,uncategorized,,Live,$6.25 ,1,1,$5.48 ,1
mkt_058,Google - US,greece flights,Broad,Google_Yearlong 2006,Google|Greece,greece,Position 5-10 Bid Strategy,Paused,$6.25 ,"17,927",2.38,$3.79 ,545
mkt_059,Google - US,tunis flights,Broad,Google_Yearlong 2006,Google|tunis,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,"1,820",1.46,$3.44 ,75
mkt_060,Google - US,spain cheap flights,Broad,Geo Targeted New York,New York to Spain Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,17,2.82,$2.09 ,6
mkt_061,Yahoo - US,france plane ticket,Standard,Paris & France Terms,France,uncategorized,,Live,$6.25 ,209,1.11,$1.05 ,13
mkt_062,Google - US,italy cheap ticket,Broad,Western Europe Destinations,Italy,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,45,5.04,$1.63 ,6
mkt_063,Google - Global,strasbourg airfare,Broad,Air France Global Campaign,Strasbourg,strasbourg,Position 1- 3,Unavailable,$11.25 ,59,1,$5.00 ,1
mkt_064,Yahoo - US,international airports,Advanced,Geo Targeted Atlanta,International Atlanta,uncategorized,,Paused,$6.25 ,246,1.73,$0.46 ,4
mkt_065,Google - US,france fares,Broad,Geo Targeted Chicago,Chicago to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,8,1.75,$2.11 ,1
mkt_066,Google - US,international cheap tickets,Broad,Google_Yearlong 2006,Google|International General,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,576,2.08,$2.18 ,35
mkt_067,Overture - Global,cheap flight to france,Advanced,Unassigned,Unassigned,flight,Position 1-2 Target,Paused,$0.89 ,"18,777",1.47,$0.86 ,149
mkt_068,Google - US,madrid cheap flights,Broad,Google_Yearlong 2006,Google|Madrid,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,"1,377",1.97,$2.34 ,37
mkt_069,Overture - Global,ny to paris,Advanced,Unassigned,Unassigned,paris,,Sent,$8.75 ,"1,296",4,$0.80 ,15
mkt_070,Overture - Global,houston paris flight,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75 ,8,2.38,$0.14 ,1
mkt_071,Google - US,cairo flights,Broad,Google_Yearlong 2006,Google|cairo,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,"5,539",1.44,$3.06 ,265
mkt_072,Overture - US,airline flight prices,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Paused,$0.40 ,789,3.05,$0.53 ,6
mkt_073,Google - US,frankfurt airfare,Broad,Google_Yearlong 2006,Google|Frankfurt,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,285,1.55,$2.66 ,4
mkt_074,Overture - US,airline booking,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Paused,$0.53 ,"3,199",3.87,$0.70 ,15
mkt_075,Google - US,europe airline,Broad,Western Europe Destinations,Europe,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,"2,337",1.28,$1.79 ,45
mkt_076,Google - US,fly to britain,Broad,Google_Yearlong 2006,Google|Britain,britain,Position 5-10 Bid Strategy,Paused,$6.25 ,1,1,$1.69 ,1
mkt_077,Google - US,cheap europe flights,Broad,Geo Targeted Boston,Cheap Europe Boston,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,13,1.24,$2.35 ,4
mkt_078,Overture - US,agadir,Standard,Unassigned,Unassigned,regional,Position 5-10 Bid Strategy,Paused,$11.25 ,268,1.95,$0.42 ,12
mkt_079,Yahoo - US,greece travel,Advanced,Western Europe Destinations,Greece,uncategorized,,Live,$6.25 ,"2,021",3.25,$4.38 ,24
mkt_080,Google - US,rome air fares,Broad,Geo Targeted DC,DC to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,3,1,$1.53 ,1
mkt_081,Google - Global,paris ticket,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unavailable,$5.00 ,"6,987",1.94,$2.25 ,161
mkt_082,Overture - US,paris vacation deal,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Paused,$0.64 ,249,3.01,$1.08 ,7
mkt_083,Google - US,paris airline ticket,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,16,1.19,$2.38 ,2
mkt_084,Google - US,nice cheap ticket,Broad,French Destinations,Nice,uncategorized,Position 2-5 Bid Strategy,Live,$10.00 ,46,1.11,$1.52 ,10
mkt_085,Overture - Global,cheap trip to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Sent,$0.38 ,399,2.84,$0.40 ,10
mkt_086,Google - US,paris air flights,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Live,$6.25 ,13,1,$2.71 ,1
mkt_088,Google - US,air france to london,Broad,Western Europe Destinations,London Branded,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,2,3,$1.68 ,1
mkt_089,Overture - Global,air france discount,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Paused,$0.83 ,"1,804",1.97,$0.48 ,79
mkt_090,Yahoo - US,cheap international ticket,Advanced,Geo Targeted San Francisco,Cheap International San Francisco,uncategorized,,Paused,$6.25 ,37,1.27,$3.31 ,4
mkt_091,Google - US,france airport,Broad,Geo Targeted DC,DC to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,8,1,$1.23 ,1
mkt_092,Yahoo - US,cheap international plane ticket,Advanced,Geo Targeted Chicago,Cheap International Chicago,uncategorized,,Paused,$6.25 ,6,2.83,$2.46 ,2
mkt_094,Overture - US,cheap air fare paris,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Paused,$0.49 ,203,1.77,$0.51 ,1
mkt_095,Yahoo - US,europe flights,Advanced,Geo Targeted Atlanta,Europe Atlanta,uncategorized,,Paused,$6.25 ,30,1.03,$2.05 ,2
mkt_096,Google - US,fly to spain,Broad,Google_Yearlong 2006,Google|Spain,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,916,2.12,$2.23 ,86
mkt_097,Google - US,italy airline,Broad,Google_Yearlong 2006,Google|Italy,uncategorized,Postiion 1-4 Bid Strategy,Paused,$6.25 ,"3,384",1.66,$1.69 ,102
mkt_098,Yahoo - US,cheap international airfare,Advanced,Geo Targeted Los Angeles,Cheap International Los Angeles,uncategorized,,Paused,$6.25 ,402,3.58,$2.91 ,17
mkt_099,Google - US,hamburg ticket,Broad,Google_Yearlong 2006,Google|Hamburg,hamburg,Position 5-10 Bid Strategy,Paused,$6.25 ,29,1.32,$2.56 ,2
mkt_100,Google - US,rome airline tickets,Broad,Geo Targeted San Francisco,San Francisco to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,2,1.5,$5.78 ,1
mkt_1000,Google - US,marrakech flights,Broad,Google_Yearlong 2006,Google|marrakech,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,"2,932",1.34,$2.91 ,223
mkt_1001,Google - US,trip to france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Paused,$10.00 ,"1,502",1.55,$4.84 ,44
mkt_1002,Google - US,madrid flight,Broad,Geo Targeted Boston,Boston to Madrid Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,20,1.2,$2.46 ,3
mkt_1003,Google - Global,tours de france,Broad,Air France Global Campaign,Tour de France,uncategorized,,Unavailable,$6.25 ,124,1.32,$4.05 ,4
mkt_1004,Overture - Global,air france vacation,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Paused,$0.41 ,"5,132",1.65,$0.74 ,97
mkt_1005,Overture - Global,charles de gaulle airport in paris,Standard,Unassigned,Unassigned,franceairports,Position 1-2 Target,Paused,$0.13 ,212,1.12,$0.13 ,1
mkt_1006,Google - US,uk fare,Broad,Western Europe Destinations,UK,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,12,1.08,$1.54 ,1
mkt_1007,Overture - Global,delhi fare,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75 ,13,1,$0.14 ,2
mkt_1008,MSN - Global,french airlines,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,Position 1-4 Bid Strategy,Deactivated,$0.00 ,153,1.05,$0.39 ,23
mkt_1009,Google - US,uk cheap flights,Broad,Google_Yearlong 2006,Google|UK,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,439,1.55,$5.14 ,29
mkt_101,Google - Global,french airline,Broad,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unavailable,$3.75 ,"18,214",1.98,$2.67 ,233
mkt_1010,Google - US,flight to london,Broad,Google_Yearlong 2006,Google|London,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,319,2.81,$1.90 ,19
mkt_1011,Yahoo - US,international airline,Advanced,Geo Targeted DC,International DC,uncategorized,,Paused,$6.25 ,"1,239",1.1,$1.87 ,2
mkt_1012,Google - Global,paris cheap ticket,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unavailable,$3.75 ,"1,440",2.62,$1.97 ,43
mkt_1013,Google - Global,flights to strasbourg,Broad,Air France Global Campaign,Strasbourg,strasbourg,Position 1- 3,Unavailable,$11.25 ,984,1,$1.60 ,5
mkt_1014,Google - US,rabat flights,Broad,Google_Yearlong 2006,Google|rabat,uncategorized,Postiion 1-4 Bid Strategy,Paused,$6.25 ,361,1.14,$1.28 ,11
mkt_1015,Overture - Global,le man flight,Standard,Unassigned,Unassigned,leman,Position 1-2 Target,Paused,$0.50 ,545,3.38,$0.51 ,3
mkt_1017,Google - US,business class flights,Broad,Business Class,Business Class - Generic,uncategorized,Position 2-5 Bid Strategy,Live,$13.75 ,821,3,$5.52 ,23
mkt_1018,Google - US,european flight,Broad,Western Europe Destinations,Europe,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,281,1.33,$1.90 ,10
mkt_1019,Google - US,paris fare,Broad,Geo Targeted Seattle,Seattle to Paris Sale,uncategorized,Position 2-5 Bid Strategy,Paused,$5.00 ,98,1.44,$3.50 ,6
mkt_102,Overture - Global,avn ticket,Standard,Unassigned,Unassigned,avignon,Position 1-2 Target,Paused,$0.13 ,"4,417",1.83,$0.13 ,1
mkt_1020,Google - Global,zagreb tickets,Broad,Air France Global Campaign,Zagreb,zagreb,Position 1- 3,Unavailable,$11.25 ,3,1,$0.83 ,1
mkt_1021,Google - US,lyon airlines,Broad,French Destinations,Lyon,uncategorized,Position 2-5 Bid Strategy,Paused,$10.00 ,216,1.59,$1.67 ,6
mkt_1022,Google - US,italy tickets,Broad,Google_Yearlong 2006,Google|Italy,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,"3,367",1.72,$2.90 ,46
mkt_1023,Yahoo - US,france cheap flight,Advanced,Geo Targeted Chicago,Chicago to France Sale,uncategorized,,Live,$6.25 ,9,3.44,$2.51 ,1
mkt_1024,Google - US,switzerland tickets,Broad,Google_Yearlong 2006,Google|Switzerland,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,44,1.44,$2.19 ,2
mkt_1025,Google - US,florence tickets,Broad,Geo Targeted New York,New York to Florence Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,16,1.94,$5.33 ,1
mkt_1026,Google - US,florence cheap tickets,Broad,Google_Yearlong 2006,Google|Florence,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,12,2.75,$2.15 ,1
mkt_1027,Google - US,paris cheap air tickets,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,1,1,$2.76 ,1
mkt_1028,Google - US,rome fare,Broad,Western Europe Destinations,Rome,uncategorized,Position 5-10 Bid Strategy,Unavailable,$0.00 ,485,3.9,$1.13 ,38
mkt_1029,Overture - Global,flight paris france,Advanced,Unassigned,Unassigned,paris,,Sent,$8.75 ,"6,958",2.22,$1.13 ,43
mkt_1030,Google - US,france airfares,Broad,Geo Targeted Chicago,Chicago to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,17,1.39,$3.73 ,1
mkt_1031,Yahoo - US,air france paris flights,Standard,Paris & France Terms,Paris Branded,uncategorized,,Live,$6.25 ,179,1,$0.18 ,13
mkt_1032,Google - US,france airports,Broad,Geo Targeted Detroit,Detroit to France Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,17,1,$0.78 ,1
mkt_1033,Overture - Global,cheap flight to marseille,Standard,Unassigned,Unassigned,marseille,Position 1-2 Target,Paused,$0.58 ,"1,067",2.1,$0.61 ,7
mkt_1034,Google - US,cont:google_yearlong 2006::google|madrid,N/A,Google_Yearlong 2006,Google|Madrid,uncategorized,,Unavailable,$7.50 ,794,3.04,$0.21 ,8
mkt_1035,MSN - US,air travel in france,Broad,Air France Brand & French Destinations,France,uncategorized,,Live,$0.00 ,35,6.08,$3.78 ,2
mkt_1036,Google - US,nice tickets,Broad,French Destinations,Nice,uncategorized,Position 2-5 Bid Strategy,Live,$10.00 ,"1,144",1.18,$3.16 ,34
mkt_1037,Google - US,international tickets,Broad,Geo Targeted New York,International New York,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,6,3.33,$3.13 ,1
mkt_1038,Google - Global,flight to warsaw,Broad,Air France Global Campaign,Warsaw,warsaw,Position 1- 3,Unavailable,$11.25 ,1,1,$0.86 ,1
mkt_1039,Google - Global,french airlines,Broad,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unavailable,$5.00 ,"38,742",1.7,$2.89 ,370
mkt_104,Google - US,paris plane ticket,Broad,Paris & France Terms,Paris,uncategorized,Position 5-10 Bid Strategy,Paused,$10.00 ,77,1.21,$2.00 ,11
mkt_1040,Yahoo - US,discount international airfare,Advanced,Geo Targeted Boston,Discount International Boston,uncategorized,,Paused,$6.25 ,32,1.03,$0.95 ,3
mkt_1041,Overture - Global,travel nice france,Advanced,Unassigned,Unassigned,nice,Position 1-2 Target,Paused,$1.03 ,"1,057",2.45,$0.85 ,15
mkt_1042,Google - US,france airlines,Broad,Geo Targeted Boston,Boston to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,457,1.67,$1.32 ,5
mkt_1043,Google - US,barcelona flight,Broad,Geo Targeted San Francisco,San Francisco to Barcelona Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,50,1.74,$2.66 ,6
mkt_1044,Overture - US,jfk to athens,Standard,Unassigned,Unassigned,athens,Position 5-10 Bid Strategy,Paused,$0.13 ,50,1.58,$0.31 ,3
mkt_1045,Google - US,florence flight,Broad,Geo Targeted DC,DC to Florence Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,24,1.29,$2.55 ,1
mkt_1046,Google - US,rome plane tickets,Broad,Geo Targeted Houston,Houston to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,12,1.75,$3.75 ,1
mkt_1047,Yahoo - US,air france promotion,Advanced,Geo Targeted DC,Airfrance Deal DC,uncategorized,,Live,$6.25 ,3,2,$0.25 ,1
mkt_1048,Overture - Global,nice airline ticket,Advanced,Unassigned,Unassigned,airline,,Paused,$8.75 ,"18,005",1.4,$0.35 ,13
mkt_1049,Google - US,rome ticket,Broad,Geo Targeted Boston,Boston to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,21,1.24,$5.00 ,1
mkt_105,Yahoo - US,venice flight,Advanced,Geo Targeted Detroit,Detroit to Venice Sale,uncategorized,,Paused,$6.25 ,56,1,$1.68 ,1
mkt_1050,Yahoo - US,italy cheap airfares,Advanced,Geo Targeted Atlanta,Atlanta to Italy Sale,uncategorized,,Paused,$6.25 ,4,1,$0.91 ,1
mkt_1051,Yahoo - US,international airfare,Advanced,Geo Targeted Boston,International Boston,uncategorized,,Paused,$6.25 ,207,1.06,$1.39 ,13
mkt_1052,Google - US,paris cheap flight,Broad,Geo Targeted Los Angeles,Los Angeles to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,65,3.24,$5.21 ,2
mkt_1053,Google - US,france cheap tickets,Broad,Geo Targeted DC,DC to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,22,1.09,$2.46 ,3
mkt_1054,Google - Global,french airline,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,,Unavailable,$5.00 ,"3,620",1.37,$2.85 ,166
mkt_1055,Google - US,travel to nice,Broad,French Destinations,Nice,uncategorized,Postiion 1-4 Bid Strategy,Live,$10.00 ,"1,686",1.24,$2.25 ,104
mkt_1056,Google - US,venice airfare,Broad,Western Europe Destinations,Venice,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,176,3.57,$0.97 ,8
mkt_1057,Google - US,malaga flight,Broad,Geo Targeted Los Angeles,Los Angeles to Malaga Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,2,2,$2.03 ,1
mkt_1058,Overture - US,greece ticket,Standard,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Paused,$0.41 ,864,2.39,$0.74 ,37
mkt_1059,MSN - Global,flights to france,Broad,Air France Brand & French Destinations,France,uncategorized,Position 1-4 Bid Strategy,Deactivated,$0.00 ,747,2.77,$2.40 ,38
mkt_106,Google - US,rome airline,Broad,Geo Targeted Detroit,Detroit to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,7,2,$3.31 ,1
mkt_1060,Google - US,paris flight,Broad,Geo Targeted Los Angeles,Los Angeles to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,446,2.29,$2.47 ,32
mkt_1061,Overture - US,ny to greece,Standard,Unassigned,Unassigned,greece,Position 5-10 Bid Strategy,Paused,$0.13 ,"1,728",2.23,$0.44 ,3
mkt_1062,Google - US,cheap air france,Broad,Geo Targeted New York,Airfrance Deal New York,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,4,3.25,$1.39 ,2
mkt_1063,Google - US,england airfares,Broad,Google_Yearlong 2006,Google|England,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25 ,20,1.39,$0.83 ,3
mkt_1064,Google - US,italy airlines,Broad,Geo Targeted Boston,Boston to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25 ,67,3.11,$2.20 ,2
